model,context_length,mode,mean_s,std_s,volume,report_file
small,256,forward,0.0290,0.0001,small-forward-256,benchmark_small_forward_256.nsys-rep
small,512,forward,0.0178,0.0001,small-forward-512,benchmark_small_forward_512.nsys-rep
small,1024,forward,0.0372,0.0001,small-forward-1024,benchmark_small_forward_1024.nsys-rep
xl,256,forward,0.1566,0.0002,xl-forward-256,benchmark_xl_forward_256.nsys-rep
xl,512,forward,0.2953,0.0005,xl-forward-512,benchmark_xl_forward_512.nsys-rep
xl,1024,forward,0.5837,0.0001,xl-forward-1024,benchmark_xl_forward_1024.nsys-rep
small,256,forward-back,0.0540,0.0014,small-forward-back_256,benchmark_small_forward-back_256.nsys-rep
small,512,forward-back,0.1099,0.0053,small-forward-back_512,benchmark_small_forward-back_512.nsys-rep
small,1024,forward-back,0.1126,0.0113,small-forward-back_1024,benchmark_small_forward-back_1024.nsys-rep
xl,256,forward-back,0.4590,0.0005,xl-forward-back_256,benchmark_xl_forward-back_256.nsys-rep
xl,512,forward-back,0.8713,0.0011,xl-forward-back_512,benchmark_xl_forward-back_512.nsys-rep
xl,1024,forward-back,1.7298,0.0005,xl-forward-back_1024,benchmark_xl_forward-back_1024.nsys-rep
small,256,forward-back-optimizer,0.0792,0.0041,small-forward-back-optimizer_256,benchmark_small_forward-back-optimizer_256.nsys-rep
small,512,forward-back-optimizer,0.0842,0.0114,small-forward-back-optimizer_512,benchmark_small_forward-back-optimizer_512.nsys-rep
small,1024,forward-back-optimizer,0.1199,0.0066,small-forward-back-optimizer_1024,benchmark_small_forward-back-optimizer_1024.nsys-rep
xl,256,forward-back-optimizer,0.5885,0.1276,xl-forward-back-optimizer_256,benchmark_xl_forward-back-optimizer_256.nsys-rep
xl,512,forward-back-optimizer,0.9523,0.0008,xl-forward-back-optimizer_512,benchmark_xl_forward-back-optimizer_512.nsys-rep
xl,1024,forward-back-optimizer,1.8152,0.0007,xl-forward-back-optimizer_1024,benchmark_xl_forward-back-optimizer_1024.nsys-rep
